proj_dim,linf_params,linf_flops,linf_ns,linf_peakMB,salt_params,salt_flops,salt_ns,salt_peakMB,flash_params,flash_flops,flash_ns,flash_peakMB
1,3244,178176000,2617.61,38.1,4453,262348800,3792.04,172.3,NA,NA,NA,NA
2,4744,188006400,3600.37,38.5,5962,272793600,3972.5,57.2,NA,NA,NA,NA
3,6244,197836800,3474.33,40.7,7471,283238400,4387.76,59.5,NA,NA,NA,NA
4,7744,207667200,3496.28,43.1,8996,293748736,4026.41,62.2,NA,NA,NA,NA
5,9244,217497600,3514.59,45.6,10489,304128000,4069.1,64.4,NA,NA,NA,NA
6,10744,227328000,3540.83,48.1,11998,314572800,4125.08,66.7,NA,NA,NA,NA
7,12244,237158400,3571.68,50.4,13539,325148672,4242.85,69.4,NA,NA,NA,NA
8,13744,246988800,3556.65,52.8,15032,335527936,4593.91,71.7,NA,NA,NA,NA
9,15244,256819200,3657.57,55.3,16549,346005504,4395.71,74.2,NA,NA,NA,NA
10,16744,266649600,3680.65,57.6,18034,356352000,4429.97,76.4,NA,NA,NA,NA
11,18244,276480000,3728.13,60.1,19575,366927872,4505.39,79.1,NA,NA,NA,NA
12,19744,286310400,3707.65,62.5,21100,377438208,4965.39,81.6,NA,NA,NA,NA
13,21244,296140800,3726.98,65.0,22609,387883008,37655.99,1094.5,NA,NA,NA,NA
14,22744,305971200,3757.04,67.3,24102,398262272,4984.28,86.3,NA,NA,NA,NA
15,24244,315801600,3759.93,69.7,25579,408576000,4642.93,88.5,NA,NA,NA,NA
16,25744,325632000,3734.62,72.2,27168,419348480,4871.7,91.5,NA,NA,NA,NA
17,27244,335462400,3893.44,74.7,28621,429563904,4902.59,93.5,NA,NA,NA,NA
18,28744,345292800,3901.11,77.0,30202,440303616,5190.76,96.5,NA,NA,NA,NA
19,30244,355123200,3890.11,79.4,31631,450420736,4993.67,98.3,NA,NA,NA,NA
20,31744,364953600,3925.51,81.8,33204,461127680,5018.26,101.2,NA,NA,NA,NA
21,33244,374784000,3942.65,84.3,34777,471834624,5102.73,104.1,NA,NA,NA,NA
22,34744,384614400,3963.85,86.7,36174,481820672,38261.89,1104.4,NA,NA,NA,NA
23,36244,394444800,3970.83,89.1,37739,492494848,5270.06,108.5,NA,NA,NA,NA
24,37744,404275200,4415.07,91.5,39304,503169024,5235.81,111.4,NA,NA,NA,NA
25,39244,414105600,4153.89,93.9,40669,513024000,5469.27,112.7,NA,NA,NA,NA
26,40744,423936000,4140.13,96.3,42226,523665408,38332.99,1110.7,NA,NA,NA,NA
27,42244,433766400,4126.2,98.8,43783,534306816,5569.91,118.3,NA,NA,NA,NA
28,43744,443596800,4117.25,101.2,45340,544948224,5755.33,121.0,NA,NA,NA,NA
29,45244,453427200,4116.76,103.6,46897,555589632,6156.77,123.8,NA,NA,NA,NA
30,46744,463257600,4203.21,106.0,48214,565248000,7112.1,124.8,NA,NA,NA,NA
flash,NA,NA,NA,NA,NA,NA,NA,NA,1680,245760000,4506.38,52.6
